municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro                               ;2020/05/04 07:00:00;106;95,35;1368;1230,5;079603
Madrid-Salamanca                            ;2020/05/04 07:00:00;97;61,65;1551;985,76;079604
Madrid-Centro                               ;2020/05/04 07:00:00;95;66,79;1111;781,13;079601
Madrid-Arganzuela                           ;2020/05/04 07:00:00;114;63,9;1510;846,4;079602
Madrid-Chamartín                            ;2020/05/04 07:00:00;124;84,42;1532;1042,99;079605
Madrid-Tetuán                               ;2020/05/04 07:00:00;124;75,85;2048;1252,77;079606
Madrid-Chamberí                             ;2020/05/04 07:00:00;140;94,29;1460;983,28;079607
Madrid-Fuencarral-El Pardo                  ;2020/05/04 07:00:00;157;69,92;2810;1251,45;079608
Madrid-Moncloa-Aravaca                      ;2020/05/04 07:00:00;121;95,36;1272;1002,49;079609
Madrid-Latina                               ;2020/05/04 07:00:00;231;92,56;2631;1054,21;079610
Madrid-Carabanchel                          ;2020/05/04 07:00:00;208;84,41;2528;1025,9;079611
Madrid-Usera                                ;2020/05/04 07:00:00;98;66,01;1338;901,3;079612
Madrid-Puente de Vallecas                   ;2020/05/04 07:00:00;175;68,43;2904;1135,55;079613
Madrid-San Blas - Canillejas                ;2020/05/04 07:00:00;79;56,89;1379;992,98;079620
Madrid-Barajas                              ;2020/05/04 07:00:00;17;32,27;411;780,17;079621
Madrid-Moratalaz                            ;2020/05/04 07:00:00;75;77,02;1266;1300,12;079614
Madrid-Ciudad Lineal                        ;2020/05/04 07:00:00;164;61,97;2111;797,64;079615
Madrid-Hortaleza                            ;2020/05/04 07:00:00;95;44,97;1664;787,6;079616
Madrid-Villaverde                           ;2020/05/04 07:00:00;104;65,39;1358;853,86;079617
Madrid-Villa de Vallecas                    ;2020/05/04 07:00:00;44;41,26;1161;1088,82;079618
Madrid-Vicálvaro                            ;2020/05/04 07:00:00;41;57,03;752;1046,07;079619
Pozuelo de Alarcón                          ;2020/05/04 07:00:00;110;124,58;737;834,65;1150  
Alcorcón                                    ;2020/05/04 07:00:00;127;72,64;1718;982,61;0072  
Navalcarnero                                ;2020/05/04 07:00:00;14;49,59;159;563,25;0967  
San Agustín del Guadalix                    ;2020/05/04 07:00:00;;20,6;58;398,27;1296  
Las Rozas de Madrid                         ;2020/05/04 07:00:00;83;86,6;725;756,41;1277  
Moraleja de Enmedio                         ;2020/05/04 07:00:00;;37,34;25;466,77;0894  
Valdaracete                                 ;2020/05/04 07:00:00;;0;;823,72;1551  
Pozuelo del Rey                             ;2020/05/04 07:00:00;;0;;404,04;1163  
Puebla de la Sierra                         ;2020/05/04 07:00:00;;0;;0;1185  
Perales de Tajuña                           ;2020/05/04 07:00:00;;26,86;8;214,88;1104  
Valdemorillo                                ;2020/05/04 07:00:00;;33;46;379,51;1603  
Navalafuente                                ;2020/05/04 07:00:00;;0;6;755,67;0941  
Velilla de San Antonio                      ;2020/05/04 07:00:00;;32,02;67;536,3;1678  
Villanueva de la Cañada                     ;2020/05/04 07:00:00;14;57,41;129;529,04;1760  
Villanueva del Pardillo                     ;2020/05/04 07:00:00;;29,61;83;491,44;1776  
Nuevo Baztán                                ;2020/05/04 07:00:00;;30,09;28;421,24;1006  
Villamantilla                               ;2020/05/04 07:00:00;;0;7;829,38;1757  
Villamanta                                  ;2020/05/04 07:00:00;;0;12;563,12;1744  
Cabanillas de la Sierra                     ;2020/05/04 07:00:00;;0;10;1727,12;0297  
Cenicientos                                 ;2020/05/04 07:00:00;6;305,97;25;1274,86;0376  
Puentes Viejas                              ;2020/05/04 07:00:00;;0;;437,64;9020  
Aranjuez                                    ;2020/05/04 07:00:00;19;29,95;437;688,94;0133  
Cercedilla                                  ;2020/05/04 07:00:00;8;106,85;101;1349;0382  
Santorcaz                                   ;2020/05/04 07:00:00;;0;7;1236,75;1369  
Coslada                                     ;2020/05/04 07:00:00;36;40,72;778;880,06;0493  
Morata de Tajuña                            ;2020/05/04 07:00:00;6;77,25;95;1223,12;0915  
Robregordo                                  ;2020/05/04 07:00:00;;0;;0;1261  
Navarredonda y San Mamés                    ;2020/05/04 07:00:00;;0;;2409,64;0973  
Venturada                                   ;2020/05/04 07:00:00;;0;;212,46;1697  
Navacerrada                                 ;2020/05/04 07:00:00;;107,6;17;609,76;0936  
Montejo de la Sierra                        ;2020/05/04 07:00:00;;0;;279,33;0881  
Fresno de Torote                            ;2020/05/04 07:00:00;;0;14;1165,7;0571  
Pinilla del Valle                           ;2020/05/04 07:00:00;;0;;0;1126  
Valdemaqueda                                ;2020/05/04 07:00:00;;116,96;;584,8;1599  
Navas del Rey                               ;2020/05/04 07:00:00;12;407,61;61;2072,01;0992  
Olmeda de las Fuentes                       ;2020/05/04 07:00:00;;0;;1244,81;1013  
Bustarviejo                                 ;2020/05/04 07:00:00;;0;7;393,92;0284  
Becerril de la Sierra                       ;2020/05/04 07:00:00;;51,98;30;519,75;0186  
Fuenlabrada                                 ;2020/05/04 07:00:00;108;52,94;1480;725,44;0587  
Garganta de los Montes                      ;2020/05/04 07:00:00;;0;;364,96;0626  
Pinto                                       ;2020/05/04 07:00:00;27;50,8;247;464,7;1132  
Alameda del Valle                           ;2020/05/04 07:00:00;;0;;0;0035  
Berzosa del Lozoya                          ;2020/05/04 07:00:00;;0;;1315,79;0203  
Los Santos de la Humosa                     ;2020/05/04 07:00:00;;59,56;20;1191,19;1375  
El Álamo                                    ;2020/05/04 07:00:00;10;101,29;71;719,13;0040  
Pelayos de la Presa                         ;2020/05/04 07:00:00;;0;16;600,38;1090  
Galapagar                                   ;2020/05/04 07:00:00;46;138,68;241;726,56;0611  
Griñón                                      ;2020/05/04 07:00:00;;17,32;80;692,88;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/05/04 07:00:00;;0;;1027,4;0632  
Aldea del Fresno                            ;2020/05/04 07:00:00;;66,31;53;1757,29;0088  
Carabaña                                    ;2020/05/04 07:00:00;;57,21;13;743,71;0357  
Talamanca de Jarama                         ;2020/05/04 07:00:00;;63,86;27;862,07;1454  
Chapinería                                  ;2020/05/04 07:00:00;;0;6;262,24;0513  
Ciempozuelos                                ;2020/05/04 07:00:00;16;62,34;215;837,68;0409  
Ajalvir                                     ;2020/05/04 07:00:00;;42,14;14;294,99;0029  
San Lorenzo de El Escorial                  ;2020/05/04 07:00:00;16;90,32;128;722,55;1317  
Gascones                                    ;2020/05/04 07:00:00;;0;;0;0647  
San Martín de la Vega                       ;2020/05/04 07:00:00;7;34,37;84;412,47;1322  
Móstoles                                    ;2020/05/04 07:00:00;140;64,06;1924;880,36;0920  
Leganés                                     ;2020/05/04 07:00:00;134;68,05;2861;1452,96;0745  
Braojos                                     ;2020/05/04 07:00:00;;0;;1242,24;0246  
Cubas de la Sagra                           ;2020/05/04 07:00:00;;36,07;24;432,82;0506  
Algete                                      ;2020/05/04 07:00:00;;22,52;103;463,86;0091  
